date,timestamp,station,value
2025-06-09,2025-06-09 03:34:09,GB_SamplingPoint_112,
2025-06-09,2025-06-09 03:34:09,GB_SamplingPoint_107,
2025-06-01,2025-06-01 02:39:09,GB_SamplingPoint_112,
2025-06-01,2025-06-01 02:39:09,SPO-DK0045A_00010_100,
2025-06-01,2025-06-01 02:39:09,GB_SamplingPoint_127,
2025-06-01,2025-06-01 02:39:09,GB_SamplingPoint_61573,
2025-06-01,2025-06-01 02:44:09,GB_SamplingPoint_205,
2025-06-01,2025-06-01 02:44:09,GB_SamplingPoint_127,
2025-06-01,2025-06-01 02:44:09,GB_SamplingPoint_112,
2025-06-01,2025-06-01 02:44:09,SPO-LU0101A_00010_100,
2025-06-01,2025-06-01 02:44:09,GB_SamplingPoint_107,
2025-06-01,2025-06-01 02:44:09,SPO-CH0005A_00010_502,
2025-06-01,2025-06-01 02:44:09,SPO-FR04055_10,
2025-06-01,2025-06-01 09:09:09,SPO-EE0018A_00010_100,0.0320463851094245
2025-06-01,2025-06-01 10:44:09,SPO-GR0022A_00010_101,0.0292032491415739
2025-06-01,2025-06-01 10:44:09,SPO-GR0031A_00010_131,0.0250123124569654
2025-06-01,2025-06-01 10:49:09,SPO-DK0045A_00010_100,0.0349128693342208
2025-06-01,2025-06-01 10:49:09,SPO-EE0018A_00010_100,0.0355687290430069
2025-06-01,2025-06-01 12:24:09,SPO-GR0022A_00010_101,0.0325270593166351
2025-06-01,2025-06-01 12:24:09,SPO-GR0031A_00010_131,0.0307444911450147
2025-06-01,2025-06-01 12:29:09,SP_08019057_6_48,0.0287712756544351
2025-06-01,2025-06-01 12:29:09,SP_28079035_6_48,0.0293889604508876
2025-06-01,2025-06-01 12:29:09,SP_15030027_6_48,0.026233397424221
2025-06-01,2025-06-01 12:29:09,SP_08169009_6_48,0.0290632508695125
2025-06-01,2025-06-01 12:29:09,SPO-CH0010A_00010_500,0.0268848463892936
2025-06-01,2025-06-01 12:29:09,GB_SamplingPoint_112,0.0285837650299072
2025-06-01,2025-06-01 12:29:09,SPO-DK0045A_00010_100,0.037353727966547
2025-06-01,2025-06-01 12:29:09,SP_08089005_6_48,0.0273441243916749
2025-06-01,2025-06-01 12:29:09,GB_SamplingPoint_127,
2025-06-01,2025-06-01 12:29:09,SP_08301004_6_48,0.0273441243916749
2025-06-01,2025-06-01 12:29:09,GB_SamplingPoint_205,0.0337529964745044
2025-06-01,2025-06-01 12:29:09,SPO-FR04055_10,0.0281685218214988
2025-06-01,2025-06-01 12:29:09,SPO-LU0101A_00010_100,0.0299150925129652
2025-06-01,2025-06-01 12:29:09,SP_08019054_6_48,0.0302856266498565
2025-06-01,2025-06-01 12:29:09,SPO-FR03043_10,0.0261981077492237
2025-06-01,2025-06-01 12:29:09,SP_30016020_6_48,0.0297272372990846
2025-06-01,2025-06-01 12:29:09,SPO-CH0005A_00010_502,0.0332157798111438
2025-06-01,2025-06-01 12:29:09,SP_28092005_6_48,0.0267350487411022
2025-06-01,2025-06-01 12:29:09,GB_SamplingPoint_107,0.0373797714710235
2025-06-01,2025-06-01 12:34:09,GB_SamplingPoint_112,0.0285839568823575
2025-06-01,2025-06-01 12:34:09,GB_SamplingPoint_61573,0.0301997568458318
2025-06-01,2025-06-01 14:09:09,SPO-PT03071_00010_100,
2025-06-01,2025-06-01 14:09:09,SP_30016020_6_48,0.034612737596035
2025-06-01,2025-06-01 14:09:09,SPO-PT03082_00010_100,0.029985923320055
2025-06-01,2025-06-01 14:09:09,SP_15030027_6_48,0.033170748502016
2025-06-01,2025-06-01 14:09:09,GB_SamplingPoint_107,
2025-06-01,2025-06-01 14:09:09,SPO-PT03083_00010_100,0.0323239676654338
2025-06-01,2025-06-01 14:09:09,SP_28079035_6_48,0.0268308278173208
2025-06-01,2025-06-01 14:14:09,GB_SamplingPoint_112,0.0281351152807474
2025-06-02,2025-06-02 00:39:09,SPO-EE0018A_00010_100,
2025-06-02,2025-06-02 00:39:09,SPO-DK0045A_00010_100,
2025-06-02,2025-06-02 02:19:09,SPO-DK0045A_00010_100,
2025-06-02,2025-06-02 02:19:09,SPO-EE0018A_00010_100,
2025-06-02,2025-06-02 02:24:09,SPO-CH0005A_00010_502,
2025-06-02,2025-06-02 02:24:09,GB_SamplingPoint_112,
2025-06-02,2025-06-02 02:24:09,GB_SamplingPoint_61573,
2025-06-02,2025-06-02 02:24:09,GB_SamplingPoint_205,
2025-06-02,2025-06-02 02:24:09,SPO-DK0045A_00010_100,
2025-06-02,2025-06-02 02:24:09,GB_SamplingPoint_127,
2025-06-02,2025-06-02 02:24:09,SPO-CH0010A_00010_500,
2025-06-02,2025-06-02 02:24:09,SPO-FR04055_10,
2025-06-02,2025-06-02 02:24:09,GB_SamplingPoint_107,
2025-06-02,2025-06-02 02:24:09,SPO-LU0101A_00010_100,
2025-06-02,2025-06-02 04:04:09,GB_SamplingPoint_112,
2025-06-02,2025-06-02 10:29:09,SPO-GR0022A_00010_101,0.031188266351819
2025-06-02,2025-06-02 10:34:09,SPO-DK0045A_00010_100,
2025-06-02,2025-06-02 10:34:09,SPO-EE0018A_00010_100,
2025-06-02,2025-06-02 12:09:09,SPO-GR0031A_00010_131,0.0382417514920234
2025-06-02,2025-06-02 12:09:09,SP_08089005_6_48,
2025-06-02,2025-06-02 12:09:09,SPO-FR04055_10,0.0302815176546573
2025-06-02,2025-06-02 12:09:09,SPO-GR0022A_00010_101,
2025-06-02,2025-06-02 12:09:09,SPO-FR03043_10,
2025-06-02,2025-06-02 12:09:09,SPO-CH0010A_00010_500,
2025-06-02,2025-06-02 12:09:09,SP_08301004_6_48,
2025-06-02,2025-06-02 12:09:09,SP_08019054_6_48,
2025-06-02,2025-06-02 12:09:09,SPO-CH0005A_00010_502,
2025-06-02,2025-06-02 12:09:09,SPO-LU0101A_00010_100,
2025-06-02,2025-06-02 12:09:09,SP_08169009_6_48,
2025-06-02,2025-06-02 12:14:09,GB_SamplingPoint_127,0.029862318187952
2025-06-02,2025-06-02 12:14:09,SPO-EE0018A_00010_100,
2025-06-02,2025-06-02 12:14:09,GB_SamplingPoint_61573,
2025-06-02,2025-06-02 12:14:09,GB_SamplingPoint_107,0.0339437462389469
2025-06-02,2025-06-02 12:14:09,GB_SamplingPoint_205,0.0359466150403022
2025-06-02,2025-06-02 12:14:09,SPO-DK0045A_00010_100,0.0301173292100429
2025-06-02,2025-06-02 12:14:09,GB_SamplingPoint_112,0.0395364835858345
2025-06-02,2025-06-02 13:49:09,SPO-FR04055_10,
2025-06-02,2025-06-02 13:49:09,SP_28092005_6_48,0.0295466035604476
2025-06-02,2025-06-02 13:49:09,SP_28079035_6_48,0.0298147965222597
